#_RAJ2000	_DECJ2000	SpeakTot	Sdensity	Maj	Min	PA	flag
174.589586	47.755905	6.286038e+02	2.635655e+00	5.247	2.950	118.8	0
174.736119	47.259484	5.782888e+02	1.137245e+00	3.715	3.384	119.3	0
174.579865	48.068952	4.206780e+02	1.289434e+00	3.738	3.062	-155.5	0
173.340138	48.064759	2.986244e+02	9.624506e-02	12.469	5.949	-175.1	0
173.972949	48.157338	1.581549e+02	1.830496e-01	5.203	3.414	-151.1	0
174.570130	48.070210	1.446620e+02	7.306164e-01	3.084	2.868	168.9	0
174.566673	46.909657	1.284761e+02	1.740868e-01	3.981	3.624	102.8	0
174.117099	48.047486	1.248468e+02	2.175980e-01	4.618	3.992	-165.7	0
174.533229	48.104011	9.664552e+01	9.851735e-02	4.042	3.559	53.3	0
174.885989	47.058155	9.128917e+01	4.334718e-02	7.126	6.394	-174.2	0
173.676226	48.961106	8.536970e+01	1.649656e-01	9.510	3.462	-147.4	0
174.485404	47.219291	8.142832e+01	1.359518e-02	17.484	10.498	-141.4	0
173.450262	48.245247	7.575980e+01	1.537490e-01	4.357	3.331	162.2	0
174.784327	47.468410	7.530259e+01	1.528211e-02	29.753	6.691	53.9	0
173.762515	48.422297	7.341834e+01	1.881798e-02	20.547	11.346	170.3	0
174.100989	48.047517	7.090380e+01	1.552355e-01	5.602	4.785	177.5	0
174.467938	48.424710	6.939995e+01	1.704112e-01	3.424	3.256	148.0	0
174.306154	48.276363	6.889435e+01	6.700156e-02	4.690	4.106	175.9	0
173.693052	48.955968	6.871541e+01	2.801851e-01	4.730	2.621	178.3	0
174.103092	48.053970	6.465503e+01	1.374908e-01	6.887	4.165	157.8	0
174.765782	47.511703	6.100370e+01	4.526336e-02	5.287	4.816	-167.7	0
174.588395	47.751116	5.915967e+01	1.460733e+00	1.934	1.548	90.9	0
174.129181	48.109540	5.865194e+01	4.197670e-02	6.056	4.672	52.3	0
173.722489	48.060036	5.213900e+01	2.857323e-02	9.392	4.853	175.2	0
173.255118	47.992659	5.205850e+01	1.086249e-01	7.433	3.971	137.9	0
173.634422	48.354096	5.026715e+01	1.925944e-01	4.114	2.996	50.5	0
174.521663	47.363189	5.003031e+01	3.669256e-02	9.145	4.355	168.0	0
174.825558	47.424414	4.838831e+01	1.548302e-02	19.509	6.890	60.4	0
174.003999	47.459479	4.683791e+01	2.092145e-02	9.172	6.395	159.5	0
173.523589	47.952785	4.436014e+01	2.003620e-02	13.762	7.736	87.7	0
174.693842	47.143968	4.163035e+01	5.987824e-02	9.043	4.465	50.5	0
174.116560	48.554881	3.918902e+01	3.435373e-02	5.786	4.018	164.8	0
173.996119	47.498585	3.915070e+01	3.883998e-02	4.794	4.448	159.7	0
173.736978	48.606946	3.884503e+01	2.055293e-02	11.683	7.739	111.4	0
174.264849	48.271046	3.853322e+01	7.577821e-02	5.945	3.437	163.3	0
173.482019	48.304970	3.593248e+01	3.405115e-02	5.201	4.791	167.5	0
173.405623	47.969800	3.395169e+01	4.348600e-02	4.642	3.892	-157.3	0
173.168605	48.289480	3.110966e+01	1.941926e-02	13.564	6.633	117.9	0
174.434567	47.892436	2.976970e+01	1.243513e-02	18.641	8.827	62.2	0
174.182796	47.437827	2.933514e+01	4.331508e-02	4.094	3.682	82.7	0
174.926599	47.322412	2.784839e+01	4.373520e-02	4.028	3.561	174.8	0
174.291538	48.424432	2.715425e+01	5.247199e-01	2.107	1.699	-151.1	0
173.107821	48.004742	2.686666e+01	4.146090e-02	4.086	3.581	53.1	0
174.486041	47.390573	2.547650e+01	2.242156e-02	5.492	4.870	131.9	0
174.418105	47.438383	2.319287e+01	2.816377e-02	4.759	4.369	-171.1	0
173.880746	47.634120	2.162277e+01	2.066692e-02	6.673	4.343	164.9	0
173.273916	48.350222	2.149044e+01	2.002371e-02	6.594	4.647	168.6	0
173.188953	48.301345	2.124725e+01	1.550612e-02	11.035	7.585	88.2	0
174.450537	47.813134	2.107439e+01	3.229792e-02	3.941	3.514	69.4	0
174.287770	48.425612	1.991219e+01	4.916589e-01	1.905	1.513	-165.5	1
173.788590	47.973399	1.892516e+01	1.437809e-02	7.376	5.722	-177.5	0
174.506975	47.681875	1.881148e+01	2.223579e-02	5.043	4.002	143.7	0
174.028506	48.804747	1.858127e+01	3.116355e-02	4.695	3.676	-165.5	0
174.218957	48.206520	1.849475e+01	1.938653e-02	4.973	4.204	47.1	0
172.866906	48.173240	1.784385e+01	2.517650e-02	4.796	4.074	-137.0	0
174.855686	47.388624	1.752706e+01	3.508920e-02	5.972	5.280	96.4	0
174.203488	48.366812	1.745892e+01	2.440100e-02	5.261	3.940	151.9	0
173.617417	48.103760	1.712094e+01	4.398442e-02	3.788	3.610	164.3	0
173.651115	48.413935	1.710692e+01	1.551648e-01	3.303	2.129	61.0	0
173.817525	47.549033	1.698896e+01	1.219814e-02	7.989	6.564	-168.4	0
173.539211	48.624930	1.566224e+01	2.335904e-02	4.108	3.705	-164.5	0
174.436964	47.415578	1.560321e+01	1.288988e-02	12.177	6.608	-167.0	0
174.096223	48.287517	1.546675e+01	1.163132e-02	9.143	4.521	68.1	0
174.017872	48.135154	1.492380e+01	2.279313e-02	5.246	3.915	131.7	0
174.134279	47.241438	1.490689e+01	2.618689e-02	3.827	3.607	75.1	0
174.341190	48.461023	1.481063e+01	1.446704e-02	5.814	4.874	78.2	0
174.355626	48.095121	1.450138e+01	2.929572e-02	3.429	3.287	-151.5	0
174.889865	47.766905	1.422863e+01	1.002192e-02	9.598	5.465	176.7	0
173.043337	48.228371	1.397786e+01	1.135719e-02	7.939	5.627	50.8	0
174.042468	47.714663	1.385631e+01	1.664421e-02	5.051	4.146	178.7	0
173.097674	48.232037	1.352910e+01	5.373487e-03	27.667	6.115	134.3	1
174.595115	47.388040	1.316356e+01	2.321615e-02	4.033	3.586	64.0	0
173.881638	48.147426	1.295701e+01	2.429820e-02	4.122	3.355	47.4	0
173.482576	48.341078	1.272007e+01	2.798696e-02	3.563	3.364	179.6	0
174.501354	48.439990	1.190963e+01	1.148192e-02	9.190	5.420	133.6	0
173.563597	48.233480	1.188860e+01	2.540299e-02	3.720	3.211	-156.5	0
174.143291	47.612543	1.150182e+01	1.208491e-02	6.400	4.655	145.7	0
174.050420	47.879251	1.147609e+01	1.253190e-02	6.691	5.011	96.1	0
174.778387	47.536753	1.112064e+01	8.921493e-03	8.130	7.467	168.3	1
174.439620	47.889657	1.091788e+01	1.133736e-02	16.031	4.736	82.6	0
173.847723	48.694486	1.077815e+01	9.523434e-03	9.961	4.722	141.1	1
174.879880	47.255293	1.067616e+01	2.965600e-02	3.388	3.157	82.7	0
173.625471	48.006667	1.030746e+01	1.558196e-02	4.805	4.175	122.3	0
174.567535	46.858120	1.025009e+01	1.851868e-02	4.137	3.381	74.7	0
174.433799	47.415138	1.022255e+01	1.032580e-02	8.193	6.307	161.9	0
174.837548	47.773914	1.012061e+01	1.474770e-02	4.802	4.248	162.0	0
174.781602	47.849111	1.000861e+01	1.017911e-02	6.654	4.258	172.9	0
174.625937	47.238344	9.883930e+00	3.722761e-02	4.004	2.875	106.9	0
174.308360	47.102718	9.859144e+00	1.095460e-02	7.631	4.109	175.7	0
174.904469	47.330652	9.787643e+00	5.304955e-02	4.204	3.128	45.1	0
174.281035	47.645823	9.762819e+00	1.368779e-02	4.720	4.099	149.4	0
174.305391	47.986510	9.679498e+00	1.299698e-02	5.098	4.482	168.1	0
173.957340	47.607888	9.678609e+00	5.252264e-03	17.321	8.072	131.9	1
172.800753	48.081405	9.657763e+00	1.703309e-02	4.290	3.595	137.3	0
173.814355	48.801009	9.644082e+00	2.435374e-02	3.848	3.039	173.1	0
173.736437	48.619824	9.404952e+00	9.414366e-03	9.084	6.672	58.2	1
173.635422	48.075720	9.105861e+00	1.156300e-02	6.638	4.321	139.8	0
174.765242	47.465716	9.040251e+00	1.279583e-02	6.085	4.421	137.2	1
173.850108	47.701122	8.727875e+00	4.363392e-03	14.522	10.960	-142.5	1
174.615767	47.879546	8.595982e+00	1.154210e-02	6.349	4.053	131.9	0
173.429056	48.270860	8.533337e+00	1.364243e-02	7.084	3.689	-137.5	0
174.411231	47.975402	8.456604e+00	2.320056e-02	4.089	3.711	-170.9	0
174.165565	47.359348	8.430922e+00	1.082970e-02	6.661	4.450	168.1	0
173.545462	47.961802	8.392512e+00	3.082649e-02	4.898	3.003	95.7	0
173.614719	48.055403	8.340568e+00	1.059120e-02	6.058	4.588	-178.0	0
174.274236	47.084230	8.292816e+00	8.902647e-03	7.629	4.403	164.5	1
173.504218	48.041261	8.101686e+00	1.000208e-02	7.535	5.469	-141.8	0
174.281708	48.273984	7.705376e+00	3.424611e-02	4.617	2.646	171.6	1
174.301016	48.433640	7.596792e+00	1.051823e-02	8.723	4.697	46.2	1
174.641701	46.946669	7.482924e+00	1.227212e-02	4.875	3.609	101.6	0
173.804410	48.442673	7.453497e+00	2.957737e-02	5.037	3.800	150.2	0
174.741827	48.166124	7.266469e+00	1.824600e-02	3.795	3.119	165.3	0
174.736996	47.153466	7.219800e+00	7.276191e-03	10.534	4.987	-178.1	1
174.553673	47.265838	7.183714e+00	4.041471e-02	4.393	2.610	69.3	0
173.375412	48.482220	7.098736e+00	1.593431e-02	4.052	3.241	-154.5	0
174.877784	47.364334	6.873501e+00	1.678511e-02	4.161	3.852	-179.4	0
173.178876	48.050677	6.789353e+00	6.352611e-03	9.496	7.305	58.8	1
174.337369	48.564370	6.785886e+00	5.503557e-03	9.100	8.742	177.3	1
173.265849	48.043088	6.624057e+00	9.589659e-03	5.119	4.912	63.1	1
172.835274	48.055250	6.543541e+00	6.214189e-03	8.540	6.202	167.0	1
173.581122	48.832089	6.271701e+00	6.422633e-03	7.640	4.385	123.9	1
173.977346	48.447553	6.251577e+00	5.764478e-03	8.916	5.628	72.6	1
174.755722	48.187447	6.233657e+00	1.458165e-03	46.286	17.427	-157.7	1
173.350216	47.936789	6.118749e+00	5.209663e-03	11.951	6.298	122.7	1
173.656445	47.942168	5.921670e+00	7.151776e-03	7.807	4.676	179.8	1
173.323940	47.939247	5.891685e+00	1.235154e-02	5.417	3.460	-163.0	0
